river_group,river_system_jp,river_name_jp,station_name_jp,station_id,lat_dd,lon_dd
Natori,名取川,名取川,名取橋,302021282206030,38.206111,140.886111
Natori,名取川,名取川,閖上第二,302021282206010,38.1775,140.953611
Natori,名取川,名取川,湯元,302021282224020,38.234444,140.706111
Natori,名取川,名取川,余方,302021282224010,38.2175,140.814444
Natori,名取川,名取川,余方,302021282224990,38.218056,140.814999
Naruse,鳴瀬川,鳴瀬川,高倉橋,302031282207999,38.524167,140.909167
Naruse,鳴瀬川,鳴瀬川,三本木橋,302031282207070,38.527222,140.948889
Naruse,鳴瀬川,鳴瀬川,野田橋,302031282207050,38.527222,141.058611
Naruse,鳴瀬川,鳴瀬川,竹谷,302031282207040,38.496944,141.118889
Kitakami,北上川,北上川,大泉,302041282207100,38.763611,141.270833
Kitakami,北上川,北上川,米谷,302041282207090,38.704167,141.288056
Kitakami,北上川,北上川,登米,302041282207080,38.658611,141.286389
Kitakami,北上川,北上川,柳津,302041282207050,38.602778,141.298333
Abukuma,阿武隈川,阿武隈川,舘矢間,302011282206090,37.926111,140.751111
Abukuma,阿武隈川,白石川,船岡大橋,302011282206100,38.061667,140.77
Abukuma,阿武隈川,阿武隈川,丸森,302011282206080,37.921667,140.761667
Abukuma,阿武隈川,阿武隈川,江尻,302011282206060,38.018611,140.802222
Abukuma,阿武隈川,阿武隈川,小山,302011282206040,38.076944,140.824722
Abukuma,阿武隈川,阿武隈川,岩沼（副）,302011282206030,38.095833,140.871667
Kitakami,北上川,旧北上川,和渕,302041282207140,38.525833,141.2275
Kitakami,北上川,旧北上川,倉埣,302041282207150,38.603611,141.280833
Kitakami,北上川,旧北上川,脇谷下流,302041282207160,38.602222,141.29
